Date,Open,High,Low,Close,Adj Close,Volume
2021-11-22,768.299988,770.450012,740.250000,752.000000,752.000000,20403786
2021-11-23,740.950012,757.950012,731.200012,751.849976,751.849976,24913042
2021-11-24,750.250000,772.250000,746.700012,760.200012,760.200012,23186419
2021-11-25,754.900024,754.950012,745.299988,751.049988,751.049988,17749726
2021-11-26,739.000000,742.049988,718.599976,722.200012,722.200012,18987552
2021-11-29,726.750000,727.750000,710.500000,718.400024,718.400024,15878074
2021-11-30,716.750000,732.299988,711.099976,714.349976,714.349976,23965914
2021-12-01,716.400024,732.750000,715.000000,727.700012,727.700012,15214913
2021-12-02,724.599976,727.099976,715.200012,722.400024,722.400024,21924640
2021-12-03,720.500000,729.500000,715.099976,716.299988,716.299988,20130259
2021-12-06,719.000000,726.799988,707.500000,709.549988,709.549988,20129080
2021-12-07,717.000000,740.950012,712.000000,734.650024,734.650024,30513303
2021-12-08,747.900024,758.799988,744.099976,753.400024,753.400024,33432411
2021-12-09,759.049988,763.000000,748.400024,755.000000,755.000000,16007459
2021-12-10,756.500000,759.799988,751.049988,758.000000,758.000000,7627774
2021-12-13,763.000000,769.700012,752.500000,754.000000,754.000000,16855546
2021-12-14,751.049988,764.349976,746.299988,758.650024,758.650024,17488089
2021-12-15,757.599976,759.500000,750.900024,752.250000,752.250000,7358740
2021-12-16,757.900024,757.900024,738.950012,741.150024,741.150024,14123215
2021-12-17,742.000000,742.000000,726.049988,728.299988,728.299988,13227787
2021-12-20,718.099976,720.200012,698.200012,709.950012,709.950012,16900016
2021-12-21,720.000000,728.950012,716.150024,720.349976,720.349976,14563335
2021-12-22,726.250000,734.950012,720.049988,732.799988,732.799988,9843359
2021-12-23,739.049988,739.500000,727.950012,731.299988,731.299988,9994049
2021-12-24,733.900024,733.900024,719.599976,727.099976,727.099976,8800690
2021-12-27,724.000000,738.750000,716.099976,736.000000,736.000000,7955163
2021-12-28,740.400024,742.450012,732.500000,735.799988,735.799988,17833655
2021-12-29,738.000000,744.950012,731.900024,735.700012,735.700012,7143073
2021-12-30,733.299988,740.500000,729.000000,735.700012,735.700012,14326182
2021-12-31,736.549988,746.250000,736.549988,740.150024,740.150024,6973055
2022-01-03,743.049988,766.000000,743.000000,764.700012,764.700012,9653095
2022-01-04,767.950012,778.000000,763.599976,772.849976,772.849976,12114437
2022-01-05,773.000000,795.849976,771.200012,788.049988,788.049988,19741360
2022-01-06,775.049988,792.500000,774.000000,785.049988,785.049988,13018067
2022-01-07,792.200012,802.299988,786.250000,793.250000,793.250000,12250210
2022-01-10,800.250000,812.799988,799.000000,810.750000,810.750000,10905080
2022-01-11,809.750000,814.700012,801.900024,810.650024,810.650024,9982061
2022-01-12,818.599976,825.450012,812.049988,823.750000,823.750000,13034848
